id,name,faculty_id,,,
1,Fisika,1,,,
2,Matematika,1,,,
3,Statistika,1,,,
4,Kimia,1,,,
5,Biologi,1,,,
6,Aktuaria,1,,,
7,Teknik Perkapalan,2,,,
8,Teknik Sistem Perkapalan,2,,,
9,Teknik Kelautan,2,,,
10,Teknik Transportasi Laut,2,,,
11,Teknik Mesin,3,,,
12,Teknik Kimia,3,,,
13,Teknik Fisika,3,,,
14,Teknik Sistem dan Industri,3,,,
15,Teknik Material,3,,,
16,Teknik Elektro,4,,,
17,Teknik Biomedik,4,,,
18,Teknik Komputer,4,,,
19,Teknik Informatika,4,,,
20,Sistem Informasi,4,,,
21,Teknologi Informasi,4,,,
22,Teknik Sipil,5,,,
23,Arsitektur,5,,,
24,Teknik Lingkungan,5,,,
25,Perencanaan Wilayah dan Kota,5,,,
26,Teknik Geomatika,5,,,
27,Teknik Geofisika,5,,,
28,Desain Produk Industri,6,,,
29,Desain Interior,6,,,
30,Desain Komunikasi Visual,6,,,
31,Manajemen Bisnis,6,,,
32,Studi Pembangunan,6,,,
33,Manajemen Teknologi,6,,,
34,Teknik Infrastruktur Sipil,7,,,
35,Teknik Mesin Industri,7,,,
36,Teknik Elektro Otomasi,7,,,
37,Teknik Kimia Industri,7,,,
38,Teknik Instrumentasi,7,,,
39,Statistika Bisnis,7,,,
